round,client,trust
45,6,0.07721349176041514
45,7,0.01588313993821776
45,8,0.09881059736381873
45,9,0.00501572840154321
45,10,0.01588313993821476
45,11,0.08162755150512417
45,12,0.06304223495732965
45,13,0.01588313993821447
45,14,0.025358108822614807
45,15,0.11731063515457905
45,16,0.08185025832657179
45,17,0.1006529091644982
45,18,0.00501572840154321
45,19,0.01588313993821806
46,0,0.019375154668544017
46,1,0.135706582726552
46,2,0.10387596277181539
46,3,0.006118469895330598
46,4,0.09183756035464911
46,5,0.019375154668545034
46,6,0.07426215914329755
46,7,0.019375154668543896
46,8,0.053081779879618755
46,9,0.0193751546685267
46,10,0.019375154668539722
46,11,0.11607685574344209
46,12,0.0736601185428402
46,13,0.019375154668541804
46,14,0.1455104943613998
46,15,0.019375154668545037
46,16,0.019375154668543858
46,17,0.019375154668543466
46,18,0.006118469895330598
46,19,0.01937515466854445
47,0,0.014334239436475835
47,1,0.014334239436476109
47,2,0.09442642190759028
47,3,0.004526601927308742
47,4,0.06257955624416833
47,5,0.07978344971323889
47,6,0.06600797574463087
47,7,0.014334239436475753
47,8,0.1154012442835432
47,9,0.014334239436441947
47,10,0.004526601927308742
47,11,0.11188031156108165
47,12,0.06729030802153622
47,13,0.014334239436465345
47,14,0.014334239436475467
47,15,0.10567038822233836
47,16,0.07326360127578073
47,17,0.10977726118865276
47,18,0.004526601927308742
47,19,0.01433423943647583
48,0,0.017886083889954524
48,1,0.10516361249199369
48,2,0.09191462982081867
48,3,0.0056482370178812255
48,4,0.07031711397408896
48,5,0.07181545517353984
48,6,0.08170138773114487
48,7,0.01788608388995495
48,8,0.03942680532311684
48,9,0.01788608388994994
48,10,0.017886083889590947
48,11,0.09976698881735402
48,12,0.06879856838654246
48,13,0.017886083889950076
48,14,0.1371276418454625
48,15,0.017886083889954867
48,16,0.07958265128062918
48,17,0.017886083889953885
48,18,0.0056482370178812255
48,19,0.01788608388995483
49,0,0.022592992264149805
49,1,0.022592992264150125
49,2,0.11004827409553139
49,3,0.007134629136048263
49,4,0.09525220027065041
49,5,0.022592992264150655
49,6,0.10786783717092555
49,7,0.022592992264149552
49,8,0.11071353305215893
49,9,0.02259299226414583
49,10,0.022592992264144837
49,11,0.10846945414742376
